Gesture,Image Path,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
courser,./28.png,"387,302","367,287","351,259","355,235","375,229","368,224","369,192","368,173","372,156","386,228","378,215","369,241","369,250","401,236","392,228","380,253","380,261","413,248","400,247","388,264","386,271"
courser,./29.png,"360,291","342,282","328,256","328,234","345,228","346,231","338,220","336,236","339,245","362,230","349,218","345,237","347,247","376,235","362,223","356,244","357,257","389,243","371,240","360,254","355,263"
courser,./30.png,"363,296","342,283","324,258","325,233","343,225","338,222","336,189","334,170","335,153","355,225","347,208","341,233","342,246","370,231","360,220","352,245","352,258","384,242","371,238","360,256","358,265"
courser,./31.png,"342,284","325,279","307,255","304,231","320,220","318,228","308,215","311,223","317,228","334,224","320,205","313,201","310,193","349,227","333,214","329,236","329,250","364,233","345,233","337,251","334,264"
courser,./32.png,"343,290","322,278","305,254","303,232","317,222","317,217","313,185","310,167","310,150","334,219","323,201","317,225","318,239","349,225","335,218","329,242","329,253","362,235","346,235","337,254","336,263"
courser,./33.png,"324,286","303,273","287,251","283,230","295,221","300,213","293,184","289,165","287,150","317,213","303,205","298,228","298,240","332,219","315,218","310,241","311,252","343,230","325,232","318,249","316,259"
courser,./34.png,"315,284","294,273","277,253","271,233","283,219","287,215","280,186","275,168","273,153","303,215","289,202","286,226","287,241","317,219","301,217","298,240","299,252","329,228","313,231","307,248","306,257"
courser,./35.png,"330,276","316,271","299,248","296,227","310,215","313,221","306,206","307,219","311,225","327,218","315,202","313,221","315,232","342,221","328,212","324,234","326,246","355,228","338,227","329,244","325,255"
courser,./36.png,"334,281","315,272","298,249","296,227","310,215","309,213","303,182","300,163","298,147","325,214","312,196","308,219","310,233","340,220","325,212","320,237","321,249","353,229","336,227","330,246","329,256"
courser,./37.png,"364,287","344,273","329,249","328,227","344,218","341,215","337,185","334,167","333,151","357,218","348,201","341,225","341,237","371,225","360,215","352,239","352,250","385,235","370,232","361,249","359,257"
courser,./38.png,"382,292","362,277","347,252","349,229","367,222","361,218","359,187","357,170","359,154","377,222","369,203","361,229","363,240","392,230","383,218","373,243","373,254","405,241","393,235","381,252","378,262"
courser,./39.png,"407,301","390,287","376,261","382,236","401,228","390,224","390,192","391,172","394,155","408,228","403,208","393,234","392,246","423,236","416,226","404,252","402,261","437,248","425,245","413,263","411,271"
courser,./40.png,"419,306","402,292","390,264","399,240","419,231","405,227","406,196","408,175","412,159","423,232","420,212","410,239","408,251","439,242","433,232","419,257","416,268","451,256","441,251","428,268","424,276"
courser,./41.png,"426,309","409,295","397,266","406,243","426,236","414,230","415,198","417,177","421,160","430,236","429,217","418,244","414,256","445,245","442,235","428,261","423,272","457,258","450,253","436,270","431,279"
courser,./42.png,"419,307","401,291","388,264","396,239","418,230","403,227","405,194","407,174","412,157","421,233","421,212","410,239","407,252","436,243","434,229","420,255","415,268","449,256","443,249","429,266","423,276"
courser,./43.png,"398,297","378,282","364,255","372,231","392,222","379,219","380,187","381,168","385,152","397,224","395,205","385,230","382,244","413,233","408,221","395,246","392,259","426,246","416,241","404,259","399,268"
courser,./44.png,"371,289","350,275","335,249","338,225","355,219","347,215","346,182","346,162","347,145","365,217","357,199","350,223","350,237","380,224","370,215","361,238","360,251","393,236","379,233","368,250","365,259"
courser,./45.png,"331,285","312,273","295,250","292,228","307,217","308,212","303,180","301,161","300,144","325,213","311,196","306,219","307,234","340,219","323,214","318,237","320,249","353,229","334,229","326,247","325,257"
courser,./46.png,"321,284","300,272","283,251","278,230","291,218","294,213","289,183","285,164","283,148","312,213","299,199","294,223","294,238","326,218","310,215","305,238","306,251","338,228","320,232","313,250","312,259"
courser,./47.png,"324,286","303,275","285,254","280,233","292,220","296,214","290,185","286,166","284,151","313,214","299,201","295,225","297,239","328,220","311,216","306,240","308,251","340,230","322,233","315,251","315,260"
courser,./48.png,"350,283","331,275","314,251","314,229","329,219","328,224","319,215","321,230","326,241","344,222","332,207","329,226","331,237","358,225","344,215","339,237","340,249","372,232","354,233","346,250","344,260"
courser,./49.png,"351,288","330,277","312,252","311,229","327,219","325,215","322,182","318,163","317,147","342,217","328,199","323,225","325,237","357,223","342,217","336,242","338,251","370,234","353,233","346,251","346,259"
courser,./50.png,"394,296","374,283","360,257","365,234","383,226","376,224","374,192","374,172","375,155","392,226","385,206","376,229","374,243","407,233","398,224","388,247","386,259","420,245","406,242","395,259","392,269"
courser,./51.png,"429,310","410,297","396,266","409,240","429,233","414,230","415,198","417,177","421,160","432,235","428,217","416,245","415,256","447,245","442,234","427,261","424,272","459,258","449,252","436,271","433,279"
courser,./52.png,"449,321","433,304","422,275","434,252","456,246","439,240","442,206","447,186","454,169","457,247","459,226","447,252","443,266","473,258","471,246","455,270","451,282","485,273","480,265","465,281","459,290"
courser,./53.png,"444,312","425,300","413,268","428,242","451,240","434,232","437,202","440,181","446,165","454,239","451,221","438,251","436,264","467,250","465,238","448,264","445,277","480,264","474,256","459,274","454,284"
courser,./54.png,"404,295","384,278","372,250","380,226","399,220","387,217","388,185","389,166","393,149","403,223","401,202","391,226","389,239","419,232","414,219","401,243","398,254","432,245","423,237","410,254","406,263"
courser,./55.png,"366,285","345,270","331,245","334,222","349,213","344,210","343,180","341,161","342,146","361,213","352,198","345,223","347,236","376,221","365,211","356,236","356,247","390,233","376,228","364,245","362,254"
courser,./56.png,"329,266","314,261","298,238","296,216","311,205","312,212","304,195","303,198","308,199","326,211","314,193","311,211","313,222","341,214","327,200","322,223","323,237","354,221","337,217","327,234","323,245"
courser,./57.png,"334,274","313,263","296,239","296,216","310,207","308,203","304,173","301,155","300,139","325,204","314,188","309,210","310,224","340,210","326,203","320,225","321,238","353,219","337,218","328,235","327,246"
courser,./58.png,"300,262","286,258","269,239","263,218","275,205","282,208","275,184","271,167","270,154","296,206","282,193","279,211","281,224","310,210","294,201","290,221","293,234","322,218","304,217","296,232","294,243"
courser,./59.png,"306,270","284,258","267,238","261,218","274,206","279,202","272,173","268,155","267,140","295,202","280,190","277,211","279,225","309,207","291,203","288,224","291,236","322,216","303,217","296,233","296,243"
courser,./60.png,"281,273","258,263","239,243","231,223","240,207","249,205","238,177","231,160","227,144","265,204","247,191","245,214","249,228","280,207","258,205","258,227","263,239","292,215","270,217","265,235","265,245"
courser,./61.png,"254,284","228,276","205,259","195,239","204,224","214,217","203,193","195,178","189,164","231,214","209,208","210,231","216,245","245,216","223,220","224,243","229,255","258,223","236,232","234,250","236,261"
courser,./62.png,"251,293","224,288","200,274","185,258","192,242","205,230","190,206","179,191","171,178","221,225","199,222","201,247","207,261","236,226","212,232","215,256","221,268","249,233","227,242","225,260","227,270"
courser,./63.png,"244,301","219,297","195,284","178,270","182,252","199,241","182,219","170,205","161,193","213,236","188,232","193,259","202,269","227,236","203,242","209,266","218,274","241,242","220,250","222,268","229,274"
courser,./64.png,"246,311","221,310","193,300","176,286","180,269","192,259","173,237","161,225","151,214","205,252","182,250","191,274","201,284","220,250","198,256","208,279","217,286","235,252","215,259","219,277","227,283"
courser,./65.png,"243,325","218,326","192,321","175,310","176,294","186,281","163,264","147,255","135,246","198,273","177,276","188,298","200,307","212,268","191,277","202,298","214,306","227,268","208,277","214,295","222,301"
courser,./66.png,"234,324","210,327","183,320","165,306","168,288","178,280","155,263","140,253","128,243","190,271","169,274","179,294","191,302","203,267","183,274","193,295","204,302","219,267","200,276","206,293","215,300"
courser,./67.png,"254,280","231,273","206,252","199,228","214,213","219,209","206,180","195,162","187,146","237,206","220,194","218,219","222,235","253,210","234,203","232,229","237,243","269,218","249,216","245,236","249,247"
courser,./68.png,"339,268","316,254","300,222","308,195","328,188","312,190","310,152","308,130","306,111","329,194","324,168","316,188","315,206","345,202","339,186","331,210","331,226","361,215","351,202","342,220","342,233"
courser,./69.png,"387,273","367,256","354,228","362,202","383,194","363,199","362,166","362,146","364,129","379,203","381,176","374,198","370,215","394,211","395,193","385,217","382,232","409,223","406,209","396,226","392,237"
courser,./70.png,"435,295","418,278","410,249","424,228","443,223","423,222","425,189","428,170","434,154","437,230","443,213","433,236","428,248","450,239","455,224","442,247","437,258","461,251","463,239","452,254","447,263"
courser,./71.png,"453,315","439,297","435,269","452,251","472,248","449,245","454,212","460,194","468,179","463,252","473,232","461,251","454,264","474,263","482,249","467,268","460,278","484,276","487,266","474,278","467,286"
courser,./72.png,"462,325","450,307","446,278","464,262","486,259","459,253","466,223","473,205","481,190","475,261","485,240","473,260","467,274","487,272","495,257","479,277","471,289","496,286","498,275","485,288","479,297"
courser,./73.png,"443,321","427,305","421,275","438,255","458,251","435,248","440,218","445,200","453,185","451,255","458,236","446,258","441,271","464,266","468,254","453,275","447,285","475,279","475,269","462,283","457,291"
courser,./74.png,"402,307","385,292","373,263","383,242","403,239","389,234","391,203","393,185","397,169","404,240","404,218","395,239","391,254","417,249","415,236","404,258","400,270","430,262","424,252","413,266","410,276"
courser,./75.png,"354,291","340,282","328,260","332,239","351,232","345,235","341,218","339,211","341,202","360,236","353,219","346,238","346,249","374,242","365,229","355,251","354,262","387,253","372,246","363,261","361,270"
courser,./76.png,"361,302","343,288","328,263","332,241","350,234","343,231","342,200","342,182","345,167","357,235","351,217","344,241","345,254","371,241","363,231","354,255","355,266","384,252","372,247","364,263","364,271"
courser,./77.png,"317,306","294,295","275,274","271,252","286,244","294,235","287,208","282,191","281,176","309,236","293,225","287,247","288,259","322,242","302,243","298,264","301,272","331,252","311,257","307,273","311,279"
courser,./78.png,"284,309","261,298","242,279","236,261","248,250","258,243","249,216","243,200","240,186","273,242","254,233","252,256","257,268","286,246","264,245","262,267","267,277","296,254","274,259","271,275","275,282"
courser,./79.png,"266,302","250,299","234,282","226,267","234,256","247,248","238,225","232,207","228,193","261,245","240,236","239,257","245,269","273,249","250,246","248,267","254,278","284,257","263,257","259,274","263,283"
courser,./80.png,"274,310","250,300","232,282","225,265","235,252","246,244","236,220","230,205","226,191","261,243","241,238","239,260","244,271","273,246","250,248","250,270","255,278","282,255","261,260","259,275","264,281"
courser,./81.png,"253,304","236,306","217,293","208,277","217,263","228,259","217,236","210,219","205,204","242,254","221,244","222,264","228,276","254,256","232,253","232,275","239,286","265,262","245,263","243,281","247,291"
courser,./82.png,"264,316","240,308","219,293","209,276","217,261","229,254","217,231","209,216","203,203","243,252","221,245","222,270","229,278","255,254","232,256","235,279","242,284","265,260","244,266","245,283","251,287"
courser,./83.png,"282,301","259,292","239,274","233,254","244,241","250,238","239,215","232,200","226,186","264,236","245,228","245,250","250,261","277,238","256,239","257,260","263,269","288,245","267,250","267,265","273,272"
courser,./84.png,"319,281","298,271","280,250","278,228","291,217","288,218","281,193","276,178","274,164","303,217","293,203","290,225","292,238","317,221","305,214","302,236","305,247","330,229","315,228","312,244","315,252"
courser,./85.png,"353,264","336,256","322,234","327,214","343,205","334,215","328,202","330,215","334,224","347,215","342,198","339,216","340,226","360,218","354,201","348,223","348,236","373,224","364,215","356,229","354,240"
courser,./86.png,"357,269","339,259","323,237","325,215","339,204","332,206","328,179","326,164","326,149","346,209","340,192","335,216","336,226","360,214","353,202","346,226","348,236","372,223","363,214","356,231","357,240"
courser,./87.png,"388,272","371,259","360,235","368,214","383,204","370,208","369,180","370,164","373,150","384,212","384,192","376,214","374,227","398,220","395,205","386,228","383,240","410,230","404,219","394,234","392,244"
courser,./88.png,"404,284","390,270","382,245","393,224","410,218","396,220","400,193","403,177","407,163","410,226","413,205","402,225","398,238","421,235","422,220","409,241","404,252","431,247","427,236","416,250","412,258"
courser,./89.png,"415,295","401,279","395,252","408,233","427,231","412,228","416,201","421,185","426,172","425,235","428,216","417,237","412,249","435,245","439,230","424,251","418,262","444,258","443,247","431,260","426,268"
courser,./90.png,"410,296","395,281","388,254","400,235","419,230","403,230","408,202","411,186","417,172","417,236","420,218","409,237","404,249","428,245","430,231","416,252","411,263","438,257","435,248","423,262","419,270"
courser,./91.png,"390,288","374,272","365,246","374,225","391,220","378,222","381,195","384,179","389,165","392,227","393,208","384,226","380,240","404,235","404,221","392,240","388,253","414,246","409,236","399,249","396,259"
courser,./92.png,"371,287","355,274","341,250","344,229","362,224","355,225","355,197","356,181","359,168","369,229","365,212","357,232","357,243","380,235","375,223","367,243","366,254","391,244","383,236","374,250","374,258"
courser,./93.png,"336,288","318,277","303,256","303,237","315,227","316,226","312,200","311,184","311,171","330,227","320,214","315,235","317,248","342,233","329,226","325,246","327,257","353,241","338,238","333,252","334,260"
courser,./94.png,"304,296","283,284","267,266","263,247","273,235","281,233","272,208","267,193","265,180","294,232","276,223","274,243","279,255","306,236","286,235","285,255","290,265","317,244","296,245","293,260","296,268"
courser,./95.png,"281,299","260,291","242,274","234,256","244,243","254,240","246,216","240,201","235,189","268,238","249,230","247,252","251,263","280,241","259,241","259,262","264,271","289,247","269,251","268,267","273,273"
courser,./96.png,"280,310","257,302","238,286","230,269","238,256","253,248","241,226","233,212","226,199","267,247","244,241","243,264","249,275","278,250","253,250","253,272","260,282","286,257","265,260","264,276","269,283"
courser,./97.png,"294,318","276,316","258,303","251,287","260,276","270,266","259,244","253,227","247,213","285,263","261,258","263,279","271,287","298,267","273,267","274,286","282,293","308,275","285,280","284,295","290,302"
courser,./98.png,"300,328","278,320","258,303","250,287","257,275","270,264","258,240","251,224","246,210","286,261","263,259","262,280","268,290","298,265","274,271","275,291","281,298","308,273","286,281","285,296","290,302"
courser,./99.png,"359,319","339,308","322,288","318,268","334,258","330,254","322,225","317,209","316,193","346,252","332,243","330,264","334,275","360,256","344,256","342,277","346,285","373,264","355,267","351,283","354,290"
courser,./100.png,"422,310","405,296","393,269","400,247","418,241","406,241","405,211","405,193","408,177","421,244","416,228","409,249","409,261","434,251","428,239","419,260","419,270","446,262","436,255","427,270","427,278"
courser,./101.png,"468,309","455,291","450,263","464,244","484,240","460,244","465,214","470,197","477,182","474,250","482,228","472,246","467,260","486,259","492,242","479,261","474,274","496,271","497,257","486,270","482,280"
courser,./102.png,"484,308","471,290","469,263","485,244","502,237","479,241","484,213","489,196","495,182","492,248","502,226","492,245","486,257","504,258","512,242","497,262","490,273","513,271","516,259","504,272","499,280"
courser,./103.png,"481,311","469,292","465,266","481,248","500,244","473,245","478,218","484,202","489,188","488,252","498,230","487,247","480,262","500,263","508,247","494,265","487,277","509,277","513,263","501,274","495,284"
courser,./104.png,"424,311","405,298","391,274","396,253","414,245","400,247","397,218","394,201","395,187","414,249","410,230","405,251","406,265","428,255","422,242","416,264","416,275","441,264","432,257","425,272","425,281"
courser,./105.png,"374,302","355,291","338,272","334,252","346,240","347,239","341,212","336,195","335,181","362,239","350,224","345,246","347,258","376,243","362,237","359,259","362,269","389,251","374,251","368,268","369,276"
courser,./106.png,"318,306","301,304","284,287","280,270","284,258","296,259","289,251","285,261","286,272","308,256","296,245","292,255","293,263","320,257","305,250","302,269","307,281","333,262","315,260","310,275","312,286"
courser,./107.png,"328,315","304,306","285,288","278,269","285,255","297,251","285,227","277,211","272,197","311,249","291,243","291,265","297,275","324,252","302,251","302,273","308,281","334,259","312,263","312,280","318,285"
courser,./108.png,"297,321","274,314","253,301","241,285","247,271","261,262","247,240","238,228","230,216","274,258","251,257","253,278","261,287","286,260","262,265","266,286","274,294","296,266","275,274","277,289","284,295"
courser,./109.png,"286,340","258,339","233,331","220,317","223,304","235,292","217,277","205,268","194,259","247,287","224,291","230,310","239,320","258,286","236,297","243,316","251,325","268,290","249,302","253,316","260,323"
courser,./110.png,"280,348","253,350","228,345","212,335","211,321","229,306","208,293","194,285","183,278","239,300","213,307","221,326","231,331","249,299","226,313","235,329","245,330","259,303","240,317","245,329","252,330"
courser,./111.png,"264,337","248,337","233,333","224,328","220,324","231,307","214,296","203,289","193,281","242,303","221,310","225,325","233,329","253,305","231,315","235,329","245,331","262,309","243,320","246,332","254,333"
courser,./112.png,"284,355","259,355","236,347","221,338","219,327","240,307","218,297","204,290","192,282","250,303","221,312","228,330","239,334","260,305","233,319","241,334","251,336","268,312","246,322","250,334","259,337"
courser,./113.png,"283,338","270,341","254,333","245,323","245,314","255,300","240,284","227,274","218,265","267,296","247,297","251,314","259,321","279,297","258,304","262,321","271,327","291,302","271,310","273,324","281,329"
courser,./114.png,"304,349","278,347","256,336","244,323","245,311","260,298","241,283","228,274","218,264","272,292","247,300","253,319","262,324","283,294","258,307","265,324","274,327","292,301","271,313","275,326","282,328"
courser,./115.png,"316,331","303,330","288,323","279,313","284,305","291,290","277,272","267,260","259,249","305,286","285,283","288,300","296,308","318,289","298,295","300,314","307,322","329,295","312,305","312,319","317,325"
courser,./116.png,"338,347","312,343","289,330","277,316","284,306","293,291","276,271","266,259","257,248","308,285","287,290","290,311","297,321","320,287","298,297","302,316","309,325","331,295","313,308","314,321","319,326"
courser,./117.png,"384,333","365,323","348,302","348,283","362,272","357,270","353,239","348,222","346,206","371,269","361,261","357,278","363,285","384,273","375,268","371,285","376,291","396,281","386,278","381,291","385,298"
courser,./118.png,"437,329","420,315","409,292","415,270","432,263","418,260","418,230","420,213","423,198","433,264","435,244","428,267","425,280","448,271","447,259","438,282","435,294","460,282","456,274","447,289","445,297"
courser,./119.png,"433,333","418,320","405,296","411,275","429,268","418,264","417,234","419,218","422,203","433,268","432,250","424,273","422,286","447,275","444,265","434,289","431,300","459,286","453,279","443,296","440,304"
courser,./120.png,"464,328","450,308","443,281","456,262","476,258","452,260","455,229","459,211","465,196","467,265","474,242","466,258","461,273","480,274","485,259","473,277","468,290","491,287","491,275","480,287","476,297"
courser,./121.png,"490,331","477,313","475,285","493,268","510,264","483,260","489,233","495,216","503,202","498,269","510,247","499,268","492,282","511,280","520,264","505,284","498,296","521,294","524,281","512,295","505,303"
courser,./122.png,"485,330","472,313","469,285","485,266","504,260","479,261","484,231","490,215","498,201","493,269","503,248","492,268","485,281","506,280","513,264","498,284","492,295","515,293","518,281","506,294","501,302"
courser,./123.png,"476,329","462,312","456,284","471,265","490,260","469,262","474,232","479,215","487,201","483,269","491,247","480,266","475,280","496,279","502,262","487,281","481,294","506,292","507,280","494,292","489,301"
courser,./124.png,"473,328","458,315","452,285","468,265","487,261","464,261","469,231","473,214","481,200","480,268","486,245","475,268","471,281","492,278","498,260","483,282","478,295","503,289","502,278","490,293","486,302"
courser,./125.png,"470,330","455,315","448,287","462,268","481,263","460,262","465,233","469,215","477,201","475,269","482,247","471,269","468,282","488,279","494,261","480,283","474,296","499,291","498,280","486,294","482,303"
courser,./126.png,"468,333","452,316","445,288","460,270","479,266","457,263","462,233","467,216","475,201","473,270","480,247","469,269","466,281","486,280","492,263","477,285","472,296","497,293","496,281","484,295","480,304"
courser,./127.png,"487,330","474,312","471,284","487,266","505,261","480,258","487,229","493,213","500,199","495,267","506,246","495,267","488,279","508,279","517,263","502,283","494,294","517,293","521,281","508,294","502,302"
courser,./128.png,"498,334","488,312","489,286","506,269","526,264","498,262","506,233","513,217","521,204","512,270","525,250","513,269","505,282","524,283","534,267","518,286","510,298","532,298","537,284","524,296","518,305"
courser,./129.png,"500,334","490,314","491,286","510,268","528,261","501,261","509,234","516,218","525,205","515,271","529,250","515,270","509,282","527,284","537,268","520,287","513,297","535,299","539,285","526,298","520,306"
courser,./130.png,"482,317","467,298","464,271","478,251","495,246","473,250","478,222","483,205","489,191","487,255","493,227","487,227","485,225","500,265","503,249","491,267","487,278","511,277","508,267","497,280","494,288"
courser,./131.png,"458,283","440,269","433,240","445,220","461,214","445,222","443,198","444,182","448,169","459,225","462,201","454,213","450,226","472,231","474,211","462,226","458,239","485,241","477,232","467,245","463,255"
courser,./132.png,"403,224","381,210","367,183","371,157","385,146","379,159","376,131","374,114","374,98","393,162","391,137","384,156","382,174","406,167","402,149","393,170","392,186","419,176","410,164","402,179","401,191"
courser,./133.png,"368,208","345,199","328,173","330,148","341,135","333,149","328,122","328,104","330,90","348,149","343,128","341,147","342,163","364,152","357,133","354,156","354,172","379,159","368,150","364,167","364,178"
courser,./134.png,"310,217","290,214","272,195","271,174","283,161","288,173","284,159","280,168","279,177","300,171","295,157","289,170","288,182","313,172","303,160","298,178","299,192","325,176","311,168","304,182","303,196"
courser,./135.png,"318,225","294,216","275,196","270,171","281,156","286,169","276,143","268,126","263,112","300,167","285,148","280,167","283,184","313,169","296,155","294,177","300,192","327,174","307,169","303,186","309,197"
courser,./136.png,"285,238","261,231","240,212","234,190","244,176","250,181","238,158","229,143","223,131","263,179","247,168","246,188","251,202","276,181","259,172","258,194","264,207","290,186","271,183","268,200","273,211"
courser,./137.png,"236,271","211,265","189,251","177,233","183,217","198,215","185,194","174,181","166,169","210,211","187,205","189,227","197,238","221,211","198,213","202,234","210,242","232,215","211,220","212,237","219,244"
courser,./138.png,"250,303","226,299","204,286","193,271","196,257","214,250","199,231","187,220","179,209","225,245","201,243","204,264","213,273","236,246","211,251","216,272","225,278","245,250","223,257","225,274","233,279"
courser,./139.png,"270,303","254,306","234,293","225,278","229,263","243,260","232,241","223,228","217,217","254,255","234,247","235,265","242,277","266,255","244,253","245,274","253,285","277,260","256,264","255,280","261,290"
courser,./140.png,"281,314","256,308","235,293","224,277","229,262","245,254","230,235","219,222","210,211","258,251","234,247","236,271","243,281","269,252","245,256","249,279","256,287","279,259","258,265","259,282","265,288"
courser,./141.png,"287,303","272,305","253,293","244,278","251,263","261,260","250,238","242,223","236,211","274,255","256,249","257,268","263,279","286,256","265,256","266,277","273,288","298,262","278,265","276,282","280,292"
courser,./142.png,"301,317","276,310","254,295","243,278","250,262","264,256","249,235","239,222","231,209","278,252","255,249","258,272","265,282","291,254","266,258","270,280","277,287","301,261","279,268","280,284","286,290"
courser,./143.png,"316,320","292,313","271,298","261,282","268,267","278,259","264,237","254,223","247,211","294,255","272,252","274,275","282,285","306,258","284,263","285,284","292,292","317,265","297,272","296,289","302,295"
courser,./144.png,"328,319","306,314","283,297","273,277","282,263","291,257","278,233","270,218","264,205","306,254","285,247","286,269","293,281","320,257","298,258","299,281","306,290","331,264","310,270","310,287","316,294"
courser,./145.png,"357,292","344,287","328,267","323,249","331,238","337,236","331,213","323,196","318,182","351,235","338,220","332,240","332,253","364,239","350,230","345,252","348,262","377,248","362,245","355,261","357,269"
courser,./146.png,"363,301","343,289","326,267","322,246","335,235","336,235","328,208","323,192","321,176","351,235","338,220","333,242","336,255","365,239","349,234","346,257","350,265","377,247","359,247","356,264","360,270"
courser,./147.png,"399,294","381,282","366,258","368,235","382,225","377,227","373,200","370,183","371,169","392,230","386,211","380,235","381,248","406,236","398,224","389,249","390,260","418,246","408,239","399,256","399,265"
