Gesture,Image Name,T0,T1,T2,T3,Thumb,I3,I2,I1,Index,M3,M2,M1,Middle,R3,R2,R1,Ring,L3,L2,L1,Little
gesture,hand_images\hand_43.png,"318,347","297,344","281,337","273,332","271,327","279,302","268,285","263,273","259,262","290,297","274,280","264,267","255,256","302,298","284,297","280,313","281,326","313,305","296,308","290,320","289,329"
gesture,hand_images\hand_44.png,"291,337","278,338","265,341","257,346","249,349","260,322","247,310","237,302","229,295","267,319","253,306","242,300","234,293","276,320","261,327","258,345","258,357","285,326","272,337","268,350","266,359"
gesture,hand_images\hand_45.png,"309,366","285,367","267,364","255,362","250,355","263,327","246,315","236,306","228,297","272,321","251,307","238,297","227,288","283,320","260,327","258,346","262,360","291,326","273,335","269,349","269,360"
gesture,hand_images\hand_46.png,"290,336","279,337","266,340","258,346","251,349","261,320","247,307","237,299","230,291","267,318","252,304","241,297","232,290","276,320","261,324","259,342","259,353","285,326","273,335","269,348","267,356"
gesture,hand_images\hand_47.png,"308,365","286,367","267,363","256,360","252,353","263,326","246,313","236,304","228,294","273,320","252,305","239,294","228,285","284,319","260,325","260,344","264,357","294,325","274,334","271,349","271,359"
gesture,hand_images\hand_48.png,"310,345","296,346","281,338","273,331","268,325","284,307","275,290","266,278","259,269","292,303","277,301","272,314","273,324","301,303","284,306","279,321","280,332","308,308","292,311","286,322","285,331"
gesture,hand_images\hand_49.png,"317,347","297,345","279,340","268,335","268,330","279,302","266,287","259,276","252,267","289,299","272,290","264,288","257,285","300,300","281,303","277,318","279,330","309,307","293,310","287,322","285,332"
gesture,hand_images\hand_50.png,"339,325","319,320","302,311","294,302","298,292","304,277","295,258","289,246","286,235","316,274","305,251","297,238","290,226","328,277","315,269","309,284","307,296","339,285","326,280","318,290","315,300"
gesture,hand_images\hand_51.png,"353,317","332,309","316,298","309,287","318,279","319,265","312,244","309,230","307,218","332,262","323,237","316,222","311,208","345,266","333,255","328,272","327,285","357,275","345,267","336,278","332,289"
gesture,hand_images\hand_52.png,"356,300","343,298","328,286","327,272","338,264","337,256","331,236","329,222","327,210","349,254","345,230","340,216","337,203","362,259","355,243","348,259","344,272","374,267","365,258","356,268","351,278"
gesture,hand_images\hand_53.png,"362,310","344,300","330,288","325,273","336,264","335,253","332,231","331,217","331,204","348,252","343,225","338,210","335,197","362,256","355,242","347,258","342,271","375,266","366,256","357,266","351,276"
gesture,hand_images\hand_54.png,"375,295","362,290","352,274","355,260","367,254","363,246","362,226","362,211","363,200","376,247","376,223","374,207","374,194","387,254","387,238","378,251","372,262","397,265","394,253","385,260","379,268"
gesture,hand_images\hand_55.png,"378,307","362,294","352,277","354,263","364,254","362,245","362,222","363,208","365,195","375,246","376,219","375,201","375,186","388,254","387,236","377,249","370,262","399,267","395,253","384,260","377,268"
gesture,hand_images\hand_56.png,"379,341","364,326","357,311","363,298","375,292","370,275","375,250","380,235","385,222","384,278","389,250","393,233","397,216","396,288","402,272","389,288","380,300","405,303","406,292","394,300","385,308"
gesture,hand_images\hand_57.png,"383,330","368,326","359,313","367,302","379,296","369,280","372,256","375,241","379,227","383,282","387,255","390,239","393,222","395,291","399,278","390,294","384,304","405,304","406,295","397,305","388,312"
gesture,hand_images\hand_58.png,"380,345","365,331","359,315","367,303","381,298","369,281","373,256","377,241","382,227","383,284","387,255","390,238","394,222","396,293","401,278","390,293","382,304","405,307","406,297","396,305","388,313"
gesture,hand_images\hand_59.png,"392,328","378,325","371,311","380,299","392,292","380,278","384,255","389,240","394,227","394,280","399,254","403,237","408,221","405,289","413,275","404,289","397,299","414,302","418,293","410,302","402,308"
gesture,hand_images\hand_60.png,"388,344","375,329","370,311","382,299","395,294","381,279","386,255","390,240","395,226","395,282","401,255","404,237","409,222","407,292","414,277","403,290","395,301","416,306","418,295","409,302","402,310"
gesture,hand_images\hand_61.png,"398,347","385,332","381,313","393,300","407,295","393,281","398,257","403,242","409,229","407,284","413,258","416,241","422,226","419,294","427,279","416,293","408,305","428,309","431,297","421,305","412,313"
gesture,hand_images\hand_62.png,"384,353","370,336","365,316","373,301","388,297","379,287","384,263","389,249","394,236","393,290","398,264","402,247","406,232","404,300","409,285","397,298","388,309","413,314","413,302","403,309","394,316"
gesture,hand_images\hand_63.png,"348,339","332,333","322,314","327,297","337,288","334,288","336,265","338,250","340,239","347,289","347,263","348,247","349,234","359,296","356,282","345,292","339,302","370,306","364,296","355,302","350,310"
gesture,hand_images\hand_64.png,"346,352","329,335","323,314","330,297","338,286","335,285","337,263","339,250","342,238","348,287","349,260","349,244","350,230","360,293","356,281","344,292","337,303","371,304","363,296","353,304","347,312"
gesture,hand_images\hand_65.png,"298,326","283,318","275,299","275,283","285,276","291,278","290,259","289,246","289,235","301,279","305,258","304,244","303,233","311,283","304,269","294,278","290,289","321,290","311,277","301,283","294,292"
gesture,hand_images\hand_66.png,"301,334","285,318","276,299","279,282","289,273","290,273","289,250","289,236","290,225","302,274","301,247","299,231","298,217","313,281","304,268","292,280","286,291","322,290","311,279","300,286","294,294"
gesture,hand_images\hand_67.png,"284,340","266,324","254,307","253,292","264,282","268,281","263,259","260,246","259,234","278,281","273,256","268,240","265,227","289,285","276,274","268,290","265,303","298,292","285,282","275,292","271,302"
gesture,hand_images\hand_68.png,"272,338","256,336","243,324","239,310","247,298","251,296","243,276","238,264","235,253","261,293","255,268","248,253","242,241","273,295","259,286","253,303","252,316","283,301","268,295","261,307","259,318"
gesture,hand_images\hand_69.png,"281,351","261,341","246,325","240,312","247,299","253,295","244,276","239,264","236,253","264,293","254,269","245,254","238,241","276,295","259,285","254,303","253,317","286,301","269,292","262,305","259,317"
gesture,hand_images\hand_70.png,"281,357","258,350","241,336","234,323","238,310","247,305","235,288","228,278","223,269","256,301","242,279","232,265","223,253","268,301","249,293","246,311","247,326","279,306","260,300","254,313","254,325"
gesture,hand_images\hand_71.png,"270,316","257,314","245,316","237,322","231,325","237,301","227,288","221,280","215,271","240,300","231,289","223,281","215,273","246,303","234,310","229,316","225,319","253,310","245,322","242,327","240,331"
gesture,hand_images\hand_72.png,"278,365","257,359","240,347","232,335","234,324","243,314","228,298","220,288","215,279","253,310","236,290","224,279","216,268","264,310","246,305","243,323","245,336","275,315","257,312","252,324","252,335"
gesture,hand_images\hand_73.png,"279,376","258,373","239,363","229,354","232,341","239,328","223,315","213,306","207,297","250,323","230,306","218,296","208,286","263,322","241,322","241,342","244,355","274,327","253,329","250,344","251,356"
gesture,hand_images\hand_74.png,"270,346","256,352","242,356","234,355","229,349","235,332","221,319","211,313","204,306","242,327","229,311","219,302","210,295","252,327","240,330","240,347","243,358","260,332","252,343","250,357","250,366"
gesture,hand_images\hand_75.png,"281,381","258,379","239,371","228,363","231,350","239,337","222,324","212,317","204,308","249,330","229,314","217,304","206,295","261,328","240,332","241,352","245,366","272,332","252,337","250,353","252,365"
gesture,hand_images\hand_76.png,"267,379","253,382","238,379","230,374","230,366","236,350","221,338","211,331","203,325","245,344","229,327","216,318","205,311","257,343","240,345","242,365","246,377","268,347","253,352","249,367","250,378"
gesture,hand_images\hand_77.png,"284,394","261,390","242,384","231,377","232,364","241,348","224,337","212,330","203,322","251,342","230,327","217,319","205,311","262,340","240,345","241,365","245,379","273,345","252,350","251,366","253,378"
gesture,hand_images\hand_78.png,"277,369","262,372","248,376","239,381","233,380","242,357","225,345","213,339","203,333","249,353","231,340","217,333","206,328","259,353","244,360","244,378","247,388","269,356","256,367","255,380","256,388"
gesture,hand_images\hand_79.png,"288,406","265,404","245,399","232,393","235,381","244,361","226,351","214,344","204,336","254,355","232,342","217,335","205,327","265,353","241,361","244,381","250,395","275,358","253,365","254,381","258,392"
gesture,hand_images\hand_80.png,"277,396","261,402","246,402","236,399","235,389","243,370","227,357","214,350","204,344","252,364","233,348","218,341","206,334","263,363","244,369","246,389","251,400","273,367","257,375","255,389","257,398"
gesture,hand_images\hand_81.png,"291,412","267,412","246,407","235,401","236,389","245,369","225,359","213,353","202,345","255,363","232,349","217,341","204,335","266,361","241,369","244,390","251,405","276,365","255,374","255,391","260,403"
gesture,hand_images\hand_82.png,"288,416","271,420","254,416","244,412","247,402","255,382","235,371","220,363","209,357","265,375","242,363","224,355","210,349","276,374","250,381","254,402","262,416","286,378","265,387","264,404","268,416"
gesture,hand_images\hand_83.png,"302,423","277,423","255,419","243,413","246,402","253,382","233,371","221,364","210,357","263,375","240,362","224,356","210,350","275,373","251,383","255,403","263,416","286,377","265,388","266,404","270,415"
gesture,hand_images\hand_84.png,"311,392","290,389","271,382","262,374","268,364","269,347","254,335","244,329","236,323","280,342","261,325","247,316","235,308","293,341","274,347","274,364","277,376","305,346","287,352","284,366","285,376"
gesture,hand_images\hand_85.png,"333,368","313,363","295,352","288,340","295,330","294,320","281,302","273,291","266,281","305,314","290,294","279,280","270,269","319,314","304,313","301,329","302,342","332,318","316,320","312,333","312,343"
gesture,hand_images\hand_86.png,"356,348","335,341","319,328","315,313","324,303","318,298","309,278","304,265","299,254","330,294","317,271","309,257","301,245","344,295","332,287","329,303","330,316","357,301","344,297","339,309","339,319"
gesture,hand_images\hand_87.png,"377,332","358,323","344,307","346,291","356,280","345,275","339,255","336,242","334,230","358,273","351,248","345,235","342,221","372,276","368,264","362,282","359,294","386,285","378,278","372,291","370,301"
gesture,hand_images\hand_88.png,"394,325","375,314","364,296","369,279","379,269","367,266","364,243","363,228","363,215","380,265","377,236","374,219","372,205","394,269","393,254","386,271","382,283","407,278","401,269","395,281","392,291"
gesture,hand_images\hand_89.png,"404,321","386,309","376,291","381,274","392,264","378,261","376,237","376,222","377,209","392,261","390,232","387,215","387,200","406,266","406,250","399,266","394,278","419,276","414,265","407,276","404,285"
gesture,hand_images\hand_90.png,"421,316","404,301","396,281","405,263","419,255","401,252","403,227","406,212","409,199","416,252","418,224","419,207","422,191","430,259","434,243","425,259","419,272","442,271","441,259","433,269","427,278"
gesture,hand_images\hand_91.png,"442,317","427,296","424,274","437,258","453,253","431,246","438,222","444,208","449,196","446,250","452,223","457,207","461,192","459,259","465,245","455,258","448,269","469,273","471,262","462,269","454,277"
gesture,hand_images\hand_92.png,"478,317","466,296","467,274","482,262","498,258","478,247","488,225","496,211","504,201","492,252","503,226","511,210","519,197","504,263","514,250","502,262","492,272","512,278","517,267","507,274","499,281"
gesture,hand_images\hand_93.png,"508,310","501,286","508,262","529,253","547,253","521,239","534,220","545,209","555,201","534,247","548,223","557,211","568,201","543,261","556,249","540,261","530,269","549,277","556,267","544,274","535,279"
gesture,hand_images\hand_94.png,"512,306","506,282","514,260","532,250","548,247","532,235","547,217","558,208","569,201","544,245","559,223","569,212","581,203","552,259","565,248","549,258","539,263","557,276","564,266","552,270","545,273"
gesture,hand_images\hand_95.png,"504,280","496,257","500,234","516,220","532,216","520,211","532,193","542,183","551,175","532,219","545,197","553,185","561,175","541,231","553,217","541,225","530,233","547,246","554,234","543,237","534,242"
gesture,hand_images\hand_96.png,"487,230","476,207","477,185","491,170","505,166","494,161","503,141","511,130","518,121","507,166","517,143","523,128","531,116","517,177","528,160","515,170","504,180","525,191","528,178","519,181","510,187"
gesture,hand_images\hand_97.png,"463,200","449,179","450,157","462,140","472,131","466,132","473,111","480,99","487,89","477,136","486,110","491,95","497,82","488,145","496,125","485,135","476,146","497,157","498,143","488,147","480,154"
gesture,hand_images\hand_98.png,"436,190","421,170","418,147","427,128","438,118","429,123","435,100","440,88","446,77","441,125","447,99","450,83","454,70","452,132","457,112","448,120","440,131","462,143","461,128","452,133","446,141"
gesture,hand_images\hand_99.png,"389,183","372,164","364,143","371,123","382,112","370,122","372,99","375,85","379,73","382,122","382,94","383,79","385,65","394,127","396,106","389,120","384,133","406,136","402,122","395,129","391,139"
gesture,hand_images\hand_100.png,"330,200","308,186","295,167","294,148","298,134","299,146","294,125","292,119","293,115","310,145","305,125","301,136","301,147","321,146","316,128","311,140","310,152","334,149","327,136","320,144","317,154"
gesture,hand_images\hand_101.png,"296,208","275,199","261,180","259,161","266,150","264,157","259,138","256,126","254,117","275,155","273,131","269,117","265,107","286,157","280,142","273,155","271,167","298,162","289,151","282,159","280,168"
gesture,hand_images\hand_102.png,"249,219","233,217","218,203","214,186","220,174","224,178","216,159","210,147","206,136","234,174","225,154","217,141","211,130","246,175","234,161","231,177","231,190","259,178","245,171","238,181","236,192"
gesture,hand_images\hand_103.png,"257,226","236,219","220,205","215,188","220,175","222,175","214,156","209,144","205,134","233,172","223,149","215,136","208,125","245,173","232,161","228,176","228,188","258,178","244,170","238,180","235,190"
gesture,hand_images\hand_104.png,"237,232","214,227","196,213","189,196","194,183","198,186","188,166","182,154","179,144","208,182","197,159","188,145","181,133","220,181","208,167","204,182","204,195","233,184","220,174","214,185","212,196"
gesture,hand_images\hand_105.png,"222,232","199,231","179,219","169,201","173,187","175,193","162,174","155,163","150,153","186,187","170,165","160,153","152,143","198,184","184,170","182,186","184,199","212,185","197,178","193,189","193,200"
gesture,hand_images\hand_106.png,"214,232","190,234","168,223","159,205","160,189","161,201","145,185","136,174","129,164","170,193","151,172","139,161","130,151","182,188","168,175","168,190","172,204","196,187","182,180","180,191","181,203"
gesture,hand_images\hand_107.png,"204,232","181,236","156,225","147,205","150,189","142,204","123,188","113,177","105,167","151,195","130,175","117,165","106,155","165,190","152,175","156,192","162,205","180,188","167,180","166,191","169,200"
gesture,hand_images\hand_108.png,"207,232","184,236","158,226","148,206","151,189","141,209","121,193","109,182","100,172","150,199","126,181","112,171","101,160","163,193","151,177","158,194","165,206","179,189","166,181","168,192","172,201"
gesture,hand_images\hand_109.png,"207,241","184,246","159,238","148,218","150,201","142,221","121,205","109,195","100,185","150,210","125,193","110,183","99,172","163,203","150,191","157,207","164,218","178,199","165,192","168,204","172,213"
gesture,hand_images\hand_110.png,"208,258","184,265","157,259","145,240","146,222","139,242","116,227","103,217","93,207","147,230","122,214","106,206","93,197","160,222","145,210","153,225","161,236","174,218","161,211","163,222","168,231"
gesture,hand_images\hand_111.png,"218,268","196,276","170,269","158,253","159,238","153,248","131,237","117,230","108,223","161,238","135,224","120,216","108,207","173,231","158,220","165,235","172,246","188,227","174,223","176,235","180,244"
gesture,hand_images\hand_112.png,"256,276","233,275","211,263","204,249","208,237","205,236","189,220","180,209","174,199","214,230","195,213","182,203","173,193","227,227","213,220","214,233","218,243","241,228","227,224","225,235","227,244"
gesture,hand_images\hand_113.png,"329,276","308,265","293,253","287,244","286,237","295,224","287,204","281,191","277,180","307,223","299,197","292,181","285,168","319,225","311,211","301,218","294,225","332,230","323,222","317,229","313,237"
gesture,hand_images\hand_114.png,"356,271","339,260","329,241","331,223","340,213","332,216","329,193","328,179","329,167","344,216","339,189","337,174","336,161","357,220","353,204","344,214","338,223","369,227","363,216","357,224","353,233"
gesture,hand_images\hand_115.png,"385,271","368,256","361,236","367,217","380,210","365,211","366,188","368,173","370,161","378,211","379,184","379,167","381,153","391,216","393,200","385,215","380,227","402,226","400,214","393,222","389,231"
gesture,hand_images\hand_116.png,"415,259","401,253","394,238","399,223","409,215","397,213","399,191","402,176","406,165","409,214","413,189","415,173","417,160","421,220","427,205","421,216","415,225","432,229","433,219","427,226","422,233"
gesture,hand_images\hand_117.png,"412,276","397,260","392,238","401,221","414,213","396,213","400,189","403,175","407,163","410,214","414,188","417,172","420,159","422,221","427,204","419,218","414,230","432,231","433,220","426,228","421,235"
gesture,hand_images\hand_118.png,"426,280","413,263","410,244","420,227","432,219","413,218","418,194","422,180","427,168","427,220","432,193","436,177","441,163","439,227","446,211","439,225","434,237","449,238","451,226","445,235","441,242"
gesture,hand_images\hand_119.png,"441,285","429,269","428,248","440,233","453,224","432,221","438,199","443,185","448,174","445,224","452,199","457,183","462,171","457,232","466,219","458,231","453,241","466,244","470,234","463,242","457,249"
gesture,hand_images\hand_120.png,"448,295","438,275","440,253","454,240","469,236","445,230","453,208","460,195","467,186","458,234","468,209","475,195","483,182","469,243","480,231","470,243","462,253","477,255","482,246","474,253","468,259"
gesture,hand_images\hand_121.png,"447,282","436,269","436,250","449,238","463,235","445,232","454,212","462,200","469,190","457,237","468,215","475,201","483,188","467,246","477,232","466,241","458,250","473,258","479,247","471,251","463,257"
gesture,hand_images\hand_122.png,"441,296","432,275","434,255","447,240","460,236","445,231","455,211","463,200","470,190","457,236","469,213","476,200","484,188","467,247","480,231","468,242","459,252","474,260","479,248","471,254","463,259"
gesture,hand_images\hand_123.png,"438,315","431,293","437,270","452,257","467,253","458,250","470,234","479,226","488,219","468,258","481,238","490,227","499,218","475,270","485,257","474,263","464,269","479,285","485,274","475,276","466,280"
gesture,hand_images\hand_124.png,"446,352","441,328","449,306","469,295","487,299","474,290","490,275","501,267","512,261","484,300","502,283","514,272","525,263","489,314","501,303","485,308","473,314","490,331","495,320","484,318","473,318"
gesture,hand_images\hand_125.png,"453,358","451,335","461,314","482,307","498,311","488,300","506,286","518,279","530,273","497,310","518,294","531,284","544,276","501,325","515,316","500,319","488,323","501,341","508,333","497,331","487,331"
gesture,hand_images\hand_126.png,"455,366","455,338","466,322","485,315","502,322","493,310","514,296","528,290","541,285","501,322","524,306","540,296","555,287","504,337","521,327","504,329","489,332","503,352","513,342","501,339","489,340"
gesture,hand_images\hand_127.png,"458,370","460,343","473,326","495,322","511,330","502,315","522,303","536,297","549,293","509,327","532,313","547,305","562,297","510,343","528,334","510,335","495,338","507,359","517,350","506,347","494,346"
gesture,hand_images\hand_128.png,"465,377","467,350","480,334","499,329","516,335","511,324","532,313","547,308","561,304","517,337","542,324","558,316","573,309","518,352","537,344","520,344","505,346","516,368","525,359","513,355","501,353"
gesture,hand_images\hand_129.png,"465,384","470,356","483,341","505,336","520,346","516,332","540,322","555,318","569,316","522,346","548,334","565,328","582,322","522,361","544,354","527,354","512,356","517,377","531,367","520,365","508,365"
gesture,hand_images\hand_130.png,"464,384","469,353","482,340","504,332","521,342","512,331","537,319","552,315","567,313","519,344","545,331","563,325","580,318","519,359","542,351","524,351","507,353","517,374","530,364","518,361","505,361"
gesture,hand_images\hand_131.png,"462,380","467,351","480,336","503,328","519,339","510,326","533,314","547,311","562,307","516,339","542,326","559,319","575,313","517,354","539,344","521,346","505,348","513,369","528,358","516,355","503,355"
gesture,hand_images\hand_132.png,"443,357","442,332","451,311","471,300","488,302","480,297","497,283","510,276","522,271","488,307","509,290","521,281","533,273","492,321","506,309","489,309","476,311","492,337","501,326","488,324","477,323"
gesture,hand_images\hand_133.png,"412,332","401,309","404,286","417,270","432,266","426,268","437,247","445,235","453,225","437,274","450,250","457,235","465,222","446,285","453,267","437,274","425,281","451,299","452,284","439,286","428,290"
gesture,hand_images\hand_134.png,"406,315","394,293","394,271","406,254","422,249","414,250","424,228","431,216","439,205","426,255","438,230","444,215","450,201","436,265","440,247","425,257","415,266","442,279","441,263","428,267","418,273"
gesture,hand_images\hand_135.png,"410,287","397,277","394,255","403,240","418,236","413,241","420,218","426,204","432,193","424,244","433,218","438,202","443,189","433,253","438,234","424,243","415,253","441,264","441,250","429,252","420,257"
